title,date,author_organization,geography_focus,type,url,abstract,focal_point,email,problem_addressed,solution,ai_methods,value_added,keywords,summary,sdgs,cgiar_center,impact_area,Main Author,Corresponding Authors,CGIAR Main Center
CGIAR germplasm health units apply a systems approach to germplasm seed health protection for conservation and safe international distribution,2023,"Kumar, Lava; Alakonya, Amos; Castellion, Martina; Cuervo, Maritza; Dawit, Woubit; Kreuze, Jan; Kumari, Safaa; Massart, S.; Beatriz Muller Cadenillas, Giovanna; Onaga, Geoffrey",Belgium,Conference Paper,https://hdl.handle.net/10568/135445,"CGIAR Germplasm Health Units (GHUs) procedures to
 ensure the production and distribution of pest-free germplasm; Germplasm seed exchange from CGIAR genebanks and breeding is important to global
 agricultural research and development programs. Seed as a pathway for pest spread is an
 inherent risk for international seed exchanges. Phytosanitary controls have been established
 in accordance with the International Plant Protection Convention (IPPC) to protect global
 plant health from transboundary pest invasion. This presentation summarizes pest risks to
 international germplasm distribution; Germplasm seed exchange from CGIAR genebanks and breeding is important to global
 agricultural research and development programs. Seed as a pathway for pest spread is an
 inherent risk for international seed exchanges. Phytosanitary controls have been established
 in accordance with the International Plant Protection Convention (IPPC) to protect global
 plant health from transboundary pest invasion. This presentation summarizes pest risks to
 international germplasm distribution; CGIAR Germplasm Health Units (GHUs) procedures to
 ensure the production and distribution of pest-free germplasm; bottlenecks to germplasm
 distribution, including the inadequacy of phytosanitary regulations guided by the International
 Standards for Phytosanitary Measures (ISPMs) of IPPC; and consequences of delayed
 germplasm access on crop improvement programs. It also presents the â€˜CGIAR Greenpass
 Phytosanitary Protocol (CGPP)â€™ concept as a comprehensive phytosanitary compliance
 assurance procedure. Based on a systems approach of pest risk identification and pest risk
 mitigation in the germplasm seed production pipeline and the rigorous implementation of
 phytosanitary controls in collaboration with national plant protection organizations, the CGPP
 is expected to fast-track pest-free germplasm distribution to the global community.; and consequences of delayed
 germplasm access on crop improvement programs. It also presents the â€˜CGIAR Greenpass
 Phytosanitary Protocol (CGPP)â€™ concept as a comprehensive phytosanitary compliance
 assurance procedure. Based on a systems approach of pest risk identification and pest risk
 mitigation in the germplasm seed production pipeline and the rigorous implementation of
 phytosanitary controls in collaboration with national plant protection organizations, the CGPP
 is expected to fast-track pest-free germplasm distribution to the global community.; bottlenecks to germplasm
 distribution, including the inadequacy of phytosanitary regulations guided by the International
 Standards for Phytosanitary Measures (ISPMs) of IPPC",GARRETT Karen,No Data,Seed as a pathway for pest spread is an inherent risk for international seed exchanges.,CGIAR Greenpass Phytosanitary Protocol (CGPP) concept as a comprehensive phytosanitary compliance assurance procedure,Nlp; Deep Learning,fast-track pest-free germplasm distribution to the global community,germplasm; health; protection; seed; systems; seed health; cgiar; distribution; conservation,"This presentation discusses the importance of germplasm seed exchange in global agricultural research, emphasizing the risks posed by pests during international seed exchanges. It outlines the procedures established by CGIAR Germplasm Health Units for ensuring pest-free germplasm and highlights bottlenecks such as inadequate phytosanitary regulations. The presentation also introduces the CGIAR Greenpass Phytosanitary Protocol (CGPP) as a method to enhance pest-free germplasm distribution through collaboration with national organizations and implementation of stringent phytosanitary controls.",No Data,IITA,"Climate adaptation and mitigation; Environmental health and biodiversity; Nutrition, health and food security; Poverty reduction, livelihoods and jobs","Kumar, Lava","Alakonya, Amos; Castellion, Martina; Cuervo, Maritza; Dawit, Woubit; Kreuze, Jan; Kumari, Safaa; Massart, S.; Beatriz Muller Cadenillas, Giovanna; Onaga, Geoffrey",AfricaRice
Assessing the biophysical factors affecting irrigation performance in rice cultivation using remote sensing derived information,2023,"Sawadogo, A.; Dossou-Yovo, Elliott Ronald; Kouadio, L.; Zwart, Sander J.; TraorÃ©, F.; Gundogdu, K. S.",Burkina Faso,Journal Article,https://hdl.handle.net/10568/131365,"Identifying the biophysical factors that affect the performance of irrigated crops in semi-arid conditions is pivotal to the success of profitable and sustainable agriculture under variable climate conditions. In this study, soil physical and chemical variables and plots characteristics were used through linear mixed and random forestbased modeling to evaluate the determinants of actual evapotranspiration (ETa) and crop water productivity (CWP) in rice in the Kou Valley irrigated scheme in Burkina Faso. Multi-temporal Landsat images were used within the Python module for the Surface Energy Balance Algorithm for Land model to calculate rice ETa and CWP during the dry seasons of 2013 and 2014. Results showed noticeable spatial variations in PySEBAL-derived ETa and CWP in farmersâ€™ fields during the study period. The distance between plot and irrigation scheme inlet (DPSI), plot elevation, sand and silt contents, soil total nitrogen, soil extractable potassium and zinc were the main factors affecting variabilities in ETa and CWP in the farmersâ€™ fields, with DPSI being the top explanatory variable. There was generally a positive association, up to a given threshold, between ETa and DPSI, sand and silt contents and soil extractable zinc. For CWP the association patterns for the top six predictors were all non-monotonic; Identifying the biophysical factors that affect the performance of irrigated crops in semi-arid conditions is pivotal to the success of profitable and sustainable agriculture under variable climate conditions. In this study, soil physical and chemical variables and plots characteristics were used through linear mixed and random forestbased modeling to evaluate the determinants of actual evapotranspiration (ETa) and crop water productivity (CWP) in rice in the Kou Valley irrigated scheme in Burkina Faso. Multi-temporal Landsat images were used within the Python module for the Surface Energy Balance Algorithm for Land model to calculate rice ETa and CWP during the dry seasons of 2013 and 2014. Results showed noticeable spatial variations in PySEBAL-derived ETa and CWP in farmersâ€™ fields during the study period. The distance between plot and irrigation scheme inlet (DPSI), plot elevation, sand and silt contents, soil total nitrogen, soil extractable potassium and zinc were the main factors affecting variabilities in ETa and CWP in the farmersâ€™ fields, with DPSI being the top explanatory variable. There was generally a positive association, up to a given threshold, between ETa and DPSI, sand and silt contents and soil extractable zinc. For CWP the association patterns for the top six predictors were all non-monotonic; that is a mix of increasing and decreasing associations of a given predictor to either an increase or a decrease in CWP. Our results indicate that improving irrigated rice performance in the Kou Valley irrigation scheme would require growing more rice at lower altitudes (e.g. < 300 m above sea level) and closer to the scheme inlet, in conjunction with a good management of nutrients such as nitrogen and potassium through fertilization.; that is a mix of increasing and decreasing associations of a given predictor to either an increase or a decrease in CWP. Our results indicate that improving irrigated rice performance in the Kou Valley irrigation scheme would require growing more rice at lower altitudes (e.g. < 300 m above sea level) and closer to the scheme inlet, in conjunction with a good management of nutrients such as nitrogen and potassium through fertilization.",No Data,No Data,No Data,No Data,No Data,No Data,irrigation schemes; performance; irrigated rice; biophysics; remote sensing; crops; water productivity; soil physical properties; chemical properties; sustainable agriculture; energy balance; evapotranspiration; satellite imagery; modelling; machine learning,No Data,No Data,No Data,No Data,"Sawadogo, A.","Dossou-Yovo, Elliott Ronald; Kouadio, L.; Zwart, Sander J.; TraorÃ©, F.; Gundogdu, K. S.",AfricaRice
Digital platform for rice yield simulation under current and future climate conditions,2024,"Donou, Cedarta; Dossou-Yovo, E. R",Mali,Report,https://hdl.handle.net/10568/169281,"A digital platform for rice yield simulation is essential for assessing the impact of climate change on rice production and guiding adaptation strategies. Using data from 17,647 fields across 12 West African countries, the tool integrates climate, soil, and agronomic variables, achieving over 75% accuracy in yield prediction. It incorporates future climate scenarios, enabling the assessment of climate change impacts and the identification of appropriate adaptation technologies. To maximize the impact of the digital platform for rice yield simulation, challenges such as data limitations, model assumptions, and accessibility issues must be addressed by strengthening data collection, refining model calibration, and improving user engagement. Key recommendations include enhancing data integration, improving model accuracy, increasing accessibility, providing training, fostering stakeholder collaboration, and incorporating climate risk management to support climate resilience and sustainable rice production in West Africa.",Elliott Ronald Dossou-Yovo,No Data,building climate resilience and achieving sustainable rice production,advanced climate risk analysis,Machine Learning,plays a transformative role in building climate resilience,rice; yields; adaptation; climate change,"The document discusses recommendations for improving model calibration, increasing accessibility, enhancing capacity building, and strengthening stakeholder collaboration in the context of the Accelerating Impacts of CGIAR Climate Research for Africa (AICCRA). It emphasizes the importance of incorporating advanced climate risk analysis to support adaptation planning and long-term resilience, particularly in rice production systems. The goal is to facilitate widespread adoption and ensure sustainability in agricultural practices, especially in rural areas of West Africa.",No Data,AfricaRice,No Data,"Donou, Cedarta","Dossou-Yovo, E. R",AfricaRice
Towards sustainable rice intensification in West Africa: Yield gap decomposition for the ATAFI use case,2024,"Silva, JoÃ£o Vasco; Ali Ibrahim; Dossou-Yovo, Elliott; Johnson, Jean-Martial; Ndour, Adama; Saito, Kazuki",No Data,Report,https://hdl.handle.net/10568/162871,No Data,JoÃ£o Vasco Silva,j.silva@cgiar.org,Constraints to rice productivity in farmersâ€™ fields,predictive machine learning approach was deployed to predict rice yield response to N fertilizer spatially across West Africa,Machine Learning,significantly contributes to increased rice yields while effectively narrowing the yield gap,rice; yield gap; nitrogen-use efficiency; sustainable intensification,"This study employs a predictive machine learning approach to spatially predict rice yield response to nitrogen fertilizer across West Africa. Utilizing various climate and soil data collected from reputable sources, the research conducts an ex-ante assessment of how increased fertilizer use can impact crop yields, highlighting significant predictors of yield variability and emphasizing the role of nitrogen application in achieving optimal production.",No Data,AfricaRice,No Data,"Silva, JoÃ£o Vasco","Ali Ibrahim; Dossou-Yovo, Elliott; Johnson, Jean-Martial; Ndour, Adama; Saito, Kazuki",AfricaRice
A decision support tool for targeting inland valleys with high potential for agricultural development and biodiversity and ecosystem services preservation,2022,"Dossou-Yovo, Elliott Ronald; Akpoti, Komlavi",Mali,Report,https://hdl.handle.net/10568/119809,"Inland valleys are defined as the upper parts of river drainage systems with a complete toposequence from the interfluves to the valley bottom with its seasonally waterlogged depression. Due to their specific hydrological conditions, where the bottom of the valley has predominant water seasonally or throughout the year, inland valleys have a favorable agricultural production, especially for the rice crop. Thus, the inland valleys are considered Africa's future food baskets. While Africa Rice Centre has deployed considerable efforts in characterizing inland valleys ecology in West Africa in recent years, there is still a need to develop actionable maps of inland valleys in terms of the geodatabase and their suitability for rice production in the region. These outputs (geodatabase and suitability) are needed to support project development and implementation for NGOs, and research institutions and to orient government policies aiming at expanding cropland in inland valleys with limited impact on biodiversity and ecosystem services. International Water Management Institute and AfricaRice developed a decision support system to map inland valleys and their potential for agricultural development in Mali using integrated fuzzy-based morphometry multi-scale and ecological niche modeling approach. The integrated approach developed was validated with an accuracy over 90% for both the testing and training datasets. In total, 6,815,205 ha of inland valleys were located, mapped, and characterized using both biophysical and socio-economic variables. Of the total inland valleys area, 802761 ha were mapped as suitable for rice-based systems development, while the remaining 6012444 ha were mapped as suitable for biodiversity and ecosystem services preservation. The tool can be used by the national government, investors, agronomists, and potential land users to identify inland valleys where cropland expansion, sustainable intensification, and ecosystem services preservations could all be feasible.","""Komlavi Akpoti""",No Data,There is still a need for to develop actionable maps of inland valleys in terms of geodatabase and their suitability for rice production in the region.,decision support system to map inland valleys and their potential for agricultural development in Mali using integrated fuzzy-based morphometry multi-scale and ecological niche modeling approach.,Machine Learning,"These outputs (geodatabase and suitability) are needed to support project development and implementation for NGOs, research institutions and to orient government policies aiming at expanding cropland in inland valleys with limited impacts on biodiversity and ecosystem services.",agriculture; climate-smart agriculture; climate change,"The publication examines the estimation and suitability of inland valleys for rainfed rice in Mali using various machine learning models. It identifies approximately 7110577.63 ha of inland valleys suitable for cultivation, particularly in semi-arid and dry sub-humid zones. The study compares area suitability estimates derived from boosted regression trees, random forest, and maximum entropy models, highlighting spatial distribution trends based on rainfall gradients in the region.",No Data,AfricaRice,No Data,"Dossou-Yovo, Elliott Ronald","Akpoti, Komlavi",AfricaRice
Novel insights into factors associated with yield response and nutrient use efficiency of maize and rice in sub-Saharan Africa. A review,2022,"Zingore, S.; Adolwa, Ivan S.; Njoroge, Samuel M.; Johnson, J.M.; Saito, Kazuki; Phillips, S.; Kihara, Job Maguta; Mutegi, J.; Murell, S.; Dutta, S.; Chivenge, Pauline P.; Amouzou, K.A.; OberthÃ¼r, Thomas; Weldesemayat, G.",No Data,Journal Article,https://hdl.handle.net/10568/126138,"(2) identify the genotypic, environmental, and nutrient management factors associated with yield responses; A common theme emerging from nutrient omission trials conducted extensively across sub-Saharan Africa has been the large variability in yield response to applied nutrients. Yet, little is known about the factors associated with this variability. Therefore, the objectives of this review were to (1) synthesize the available data from nutrient omission trials of maize and rice and quantify spatial variability in yield responses and the probability of attaining specified yield targets; A common theme emerging from nutrient omission trials conducted extensively across sub-Saharan Africa has been the large variability in yield response to applied nutrients. Yet, little is known about the factors associated with this variability. Therefore, the objectives of this review were to (1) synthesize the available data from nutrient omission trials of maize and rice and quantify spatial variability in yield responses and the probability of attaining specified yield targets; (2) identify the genotypic, environmental, and nutrient management factors associated with yield responses; and (3) provide insights and actionable information for setting priorities for future nutrient management research and development. Here, we provide distributions and expected values of yield response and agronomic efficiencies of nitrogen (N), phosphorus (P), and potassium (K) to serve as benchmarks for improving fertilizer recommendations. We also show that with the combined application of NPK fertilizer, rain-fed maize and rice yields can be raised from the current yields of ~2 Mg haâˆ’1 to 4 Mg haâˆ’1. Yield responses to N, P, and K were in the ratio of 11:6:1 in maize and 13:7:5 in rice, probably arising from differences in uptake requirements and growing environments. K yield responses were 2â€“3 times higher in rice than in maize. Explorative analysis using machine learning algorithms provided further insights into the possible interaction of agroecology, soil type, and exchangeable cations on the spatial variability in yield responses to N, P, and K in maize and rice. We recommend future research to address site-specific interactions between the applied and indigenous soil nutrients, focusing on optimizing application rates of K, other macronutrients and micronutrients for sustainable intensification of maize and rice production. This study highlights the critical need for balanced fertilization to optimize the productivity and nutrient use efficiencies in rice and maize production in smallholder farming systems in SSA.; and (3) provide insights and actionable information for setting priorities for future nutrient management research and development. Here, we provide distributions and expected values of yield response and agronomic efficiencies of nitrogen (N), phosphorus (P), and potassium (K) to serve as benchmarks for improving fertilizer recommendations. We also show that with the combined application of NPK fertilizer, rain-fed maize and rice yields can be raised from the current yields of ~2 Mg haâˆ’1 to 4 Mg haâˆ’1. Yield responses to N, P, and K were in the ratio of 11:6:1 in maize and 13:7:5 in rice, probably arising from differences in uptake requirements and growing environments. K yield responses were 2â€“3 times higher in rice than in maize. Explorative analysis using machine learning algorithms provided further insights into the possible interaction of agroecology, soil type, and exchangeable cations on the spatial variability in yield responses to N, P, and K in maize and rice. We recommend future research to address site-specific interactions between the applied and indigenous soil nutrients, focusing on optimizing application rates of K, other macronutrients and micronutrients for sustainable intensification of maize and rice production. This study highlights the critical need for balanced fertilization to optimize the productivity and nutrient use efficiencies in rice and maize production in smallholder farming systems in SSA.",No Data,No Data,No Data,No Data,Machine Learning,No Data,food security; sustainable intensification; nutrient interactions; environmental engineering,No Data,No Data,No Data,No Data,"Zingore, S.","Adolwa, Ivan S.; Njoroge, Samuel M.; Johnson, J.M.; Saito, Kazuki; Phillips, S.; Kihara, Job Maguta; Mutegi, J.; Murell, S.; Dutta, S.; Chivenge, Pauline P.; Amouzou, K.A.; OberthÃ¼r, Thomas; Weldesemayat, G.",AfricaRice
Improving rice yield and water productivity in dry climatic zones of West Africa: Season-specific strategies,2024,"Johnson, J.M.; Becker, M.; Dossou-Yovo, Elliott Ronald; Saito, Kazuki",No Data,Journal Article,https://hdl.handle.net/10568/162993,"Context: Irrigated lowland systems contribute most to rice production in sub-Saharan Africa and play a critical role in meeting the increasing rice demand. However, in dry areas of West Africa, negative effects associated with climate change and widespread water scarcity hamper efforts to increase the productivity of irrigated rice. Quantifying rice yields and water productivity and identifying the drivers for the prevailing variability can aid in the targeting and dissemination of appropriate soil, water, and crop management practices. Objective: The main objectives of this research were: (i) to quantify the rice yield gap in representative irrigated systems in dry areas of West Africa, both in wet and dry seasons, and identify factors that can contribute to narrowing the gap, and (ii) to assess the trade-offs or synergies between productivity and resource (water and fertiliser) use efficiency. Methods: We monitored 203 and 192 smallholder farmersâ€™ fields in the wet and dry seasons, respectively, in four contrasting irrigation schemes in Burkina Faso from 2018 to 2020 and assessed key performance indicators (grain yield, water productivity, and nutrient use efficiency). We calculated rice yield gaps (difference between exploitable and actual farmer yields) and identified the drivers of variability of yield and water productivity using machine learning and Shapley Additive exPlanations (SHAP) feature importance. Results: Indicators of productivity and sustainability differed between irrigation schemes and seasons. Rice yield was higher in wet (5.3 Mg haâˆ’ 1 ) than in dry seasons (3.7 Mg haâˆ’ 1 ), while the variability was higher in the dry (CV = 46%) than in the wet seasons (CV = 29%). Also, the yield gap was slightly higher in the dry (36%) than in the wet seasons (31%). While differences in the number of seedlings per hill and the source of seeds were the key drivers of yield variability in wet-season rice, the split of N fertilizer applications, bird control, and the soil dryness index were the most important in dry-season rice. Furthermore, within seasons, high-yielding fields had higher water productivity, and N, P, and K use efficiencies. Conclusion: These findings suggest that rice yields can be increased without trade-offs with water productivity and nutrient use efficiencies. Significance: This is the first study highlighting the season-specificity of determinants of variability of yield and water productivity in irrigated rice in West Africa. Improved water and fertilizer management can contribute to achieving the dual goal of narrowing the yield gap and improving water productivity, while increasing nutrient use efficiency, particularly in the dry season.",Africa Rice Center,No Data,Farmersâ€™ perception and management of water scarcity in irrigated rice-based systems in dry climatic zones of West Africa.,Alternate wetting and drying: a water-saving technology for sustainable rice production in Burkina Faso?,Machine Learning,"Narrowing the yield gap and improving water productivity and N, P, and K use efficiencies",learning; water; agroclimatic zones; rice,This publication addresses farmers' perceptions and management strategies related to water scarcity in irrigated rice systems in dry climates of West Africa. It explores the challenges faced by farmers and suggests alternate wetting and drying as a solution to enhance water-use efficiency and sustainability in rice production.,SDG 1; SDG 2,AfricaRice,No Data,"Johnson, J.M.","Becker, M.; Dossou-Yovo, Elliott Ronald; Saito, Kazuki",AfricaRice
"Enhancing rice yields, water productivity, and profitability through alternate wetting and drying technology in farmersâ€™ fields in the dry climatic zones of West Africa",2024,"Johnson, J.M.; Becker, M.; Dossou-Yovo, Elliott Ronald; Saito, Kazuki",No Data,Journal Article,https://hdl.handle.net/10568/159981,No Data,Jean-Martial Johnson,No Data,Use of efficient water saving techniques for production of rice in India under climate change scenario,efficient water saving techniques,Machine Learning; Deep Learning,Water-saving technology for sustainable rice production,water; climate; rice; yields; farmers,"This publication provides a critical review of efficient water saving techniques for rice production in India under the climate change scenario, emphasizing the importance of sustainable practices in agriculture. It explores various methods and their implications for enhancing water use efficiency.",SDG 1; SDG 2,IRRI,No Data,"Johnson, J.M.","Becker, M.; Dossou-Yovo, Elliott Ronald; Saito, Kazuki",AfricaRice
Assessing yield stability of pearl millet and rice cropping systems across West Africa using long-term experiments and a modeling approach,2025,"Kouadio, Louis; Fraser, Kristina; Ibrahim, Ali; Saito, Kazuki; Dougbedji, Fatondji; Senthilkumar, Kalimuthu",Niger,Journal Article,https://hdl.handle.net/10568/175951,"Long-term field experiments (LTEs) provide invaluable insights into temporal yield patterns of agronomic interventions. However, the number of LTEs and agronomic management options tested withing these experiments remain limited compared to the diversity of farming systems in West Africa. Well-tested crop models may be used to identify crop management strategies with high temporal yield stability. This study examines the yield stability of pearl millet and rice under various management options in West Africa, utilizing both experimental and modeling approaches. The Agricultural Production Systems Simulator (APSIM) for pearl millet and rice were calibrated and tested for locally-recommended varieties using LTE data from Niger (pearl millet) and Senegal (rice). Yield stability was evaluated with multiple metrics, including the adjusted coefficient of variation, the sustainable yield index, and the Finlay-Wilkinson regression coefficient. Both APSIM models exhibited a strong performance for grain yield, with Willmottâ€™s indices of agreement at 0.74 for pearl millet and 0.90 for rice, and absolute root mean square errors of 0.19 and 1.20 Mg ha-1, respectively. The models effectively reproduced yield stability patterns across a variety of management options including planting date, planting density, fertilizer treatments, and residue retention. Combining fertilizer applications with crop residue retention enhanced yield stability in pearl millet, while season-specific nitrogen management strategies reduced yield variability in rice. Our study underscores the potential of well-tested crop models to complement LTEs in investigating pearl millet and rice yield stability, offering actionable insights for agronomic intensification strategies to enhance productivity and sustainability.",Louis Kouadio,a.kouadio2@cgiar.org,climatic conditions may be contributing to the variability in sensitivity index,APSIM-Millet and APSIM-Oryza models in predicting grain yield and biomass of pearl millet and rice,Machine Learning; Deep Learning,help identify agronomic intensification options aimed at improving temporal yield stability in pearl millet and rice cropping systems,cereal crops; fertilizers; yield stability; sustainability; agronomic practices; farming systems; productivity,"This study demonstrates the effectiveness of APSIM models in predicting grain yield and biomass of pearl millet and rice in Niger and Senegal. It assesses the impact of different management strategies on yield stability, finding that season-specific nitrogen management can reduce yield variability. The combined use of long-term experiments (LTEs) and APSIM models provides a comprehensive approach to understanding yield stability. It highlights the need for further research into management options and climate change scenarios to improve agricultural practices and decision-making in West Africa.",SDG 1; SDG 2,IRRI,No Data,"Kouadio, Louis","Fraser, Kristina; Ibrahim, Ali; Saito, Kazuki; Dougbedji, Fatondji; Senthilkumar, Kalimuthu",AfricaRice
Rice area-yield estimation based on the synergistic use of remote sensing time-series and crop growth modeling in Nigeria,2025,"Barbieri, Massimo; Quicho, Emma D.; Ibrahim, Ali; Melchiori, Luca; Cattaneo, Alessandro; Gatti, Luca; Copa, Loris; Holecz, Francesco; Mathieu, Renaud; Saito, Kazuki; Senthilkumar, Kalimuthu",Nigeria,Journal Article,https://hdl.handle.net/10568/175734,"Context
 RIICE (Remote sensing-based Information and Insurance for Crops in Emerging Economies) technology, developed since 2010 by sarmap and the International Rice Research Institute, has proven effective in Southeast Asia for monitoring rice production using satellite data. In Nigeria, rice is a key staple crop, yet reliable data on cultivated area and yield are lacking, limiting the ability to design effective interventions for improving productivity.
 Objective
 This study aims to apply and improve the RIICE approach to provide accurate and up-to-date estimates of rice cultivated area, yield, and yield gaps in Nigeria.
 Methods
 Over 1500 geolocated ground-truth points were collected across Kano, Jigawa, and Benue States during the 2022 and 2023 wet and dry seasons. RIICE technology was used to analyze the temporal signatures of satellite data to detect rice areas and crop season start dates. These outputs, combined with agronomic inputs such as soil characteristics, fertilizer use, and water availability, were fed into a crop model to estimate yields and assess yield gaps.
 Results and conclusion
 In the 2023 wet season, estimated rice cultivation areas were 226,702 ha in Kano, 113,871 ha in Jigawa, and 317,282 ha in Benue, with detection accuracy ranging from 85 to 90 % in Kano and Jigawa and 75â€“85 % in Benue. Yield estimates showed Kano achieving averages of 5.1 t/ha (dry) and 5.0 t/ha (wet) under irrigated system, while Jigawa yielded 3.9 t/ha (dry) and 3.8 t/ha (wet). In Benue, yields averaged 3.5 t/ha, with some areas producing <1.0 t/ha. Yield gaps were significant: 3.0â€“3.2 t/ha in Kano and 4.0â€“4.1 t/ha in Jigawa, highlighting the need for targeted agronomic interventions to bridge these gaps and enhance rice productivity.
 Significance
 The results demonstrate the effectiveness of integrating remote sensing with ground data and crop models for reliable yield estimation and, consequently, identifying the critical target areas where interventions are the most eventually needed.",A. Ibrahim,i.ali@cgiar.org,High cost of the RIICE methodology may make it not economically sustainable for small holders,"RIICE technology for generating accurate, timely estimates of rice cultivated area, yield, and yield gaps",Machine Learning; Deep Learning; Deep Learning,Enhances productivity and food security through targeted agronomic interventions,rice; crop yield; yield gap; remote sensing; crop modelling; agronomic traits; water availability; agricultural productivity; precision agriculture,"This study presents the first application of RIICE technology in Nigeria, showcasing its potential to generate accurate, timely estimates of rice cultivated area, yield, and yield gaps across major production zones. The analysis, integrating satellite imagery and crop modeling, demonstrated high detection accuracies and revealed significant yield gaps, particularly in Jigawa. The findings emphasize the need for targeted interventions to improve productivity and food security in the region.",SDG 1; SDG 2,IRRI,No Data,"Barbieri, Massimo","Quicho, Emma D.; Ibrahim, Ali; Melchiori, Luca; Cattaneo, Alessandro; Gatti, Luca; Copa, Loris; Holecz, Francesco; Mathieu, Renaud; Saito, Kazuki; Senthilkumar, Kalimuthu",AfricaRice
Status quo and challenges of rice production in sub-Saharan Africa,2023,"Saito, Kazuki; Senthilkumar, Kalimuthu; Dossou-Yovo, Elliott Ronald; Ali, I.; Johnson, J.M.; Mujawamariya, Gaudiose; Rodenburg, J.",Benin,Journal Article,https://hdl.handle.net/10568/132788,"Rice production in sub-Saharan Africa (SSA) has increaed ten-fold since 1961, whereas its consumption has exceeded the production and the regional self-sufficiency rate is only 48% in 2020. Increase in rice production has come mainly from increased harvested area. Yield increase has been limited and the current average yield in SSA is around 2 t haâˆ’1. This paper aims to provide the status quo of (i) current rice production and its challenges, (ii) selected achievements in rice agronomy research mainly by the Africa Rice Center and its partners, and (iii) perspectives for future research on rice agronomy in SSA. The major problems confronting rice production include low yield in rainfed environments, accounting for 70% of the total rice harvested area. Rainfed rice yields are strongly affected by climate extremes such as water stresses, soil-related constraints, and sub-optimum natural resource management and crop management practices by smallholder farmers including poor water management, and suboptimal use of fertilizers, herbicides, and machineries. For alleviating these constraints, a wide range of technologies have been developed and introduced over the last three decades. These include water conservation technologies in rainfed and irrigated lowland rice, site-specific nutrient management practices, decision support tools such as crop growth simulation models, and labor-saving technologies. We conclude that further research efforts are needed to develop locally adapted agronomic solutions for sustainable intensification, especially in rainfed rice to enhance the resilience to climate change and increase land and labor productivity and sustainability of rice cultivation in SSA.",K. Saito,kazukisaito50@gmail.com,Limited usage of mechanical equipment in small-scale rice farming: A cause for concern.,appropriate mechanization options that can make an impact on improved efficiency of resources,Machine Learning; Deep Learning,Further improving rice yield and closing the rice yield gaps across environments is an essential objective for achieving food security and rice self-sufficiency,agronomy; climate change; adaptation; labour; rice; soil,"This publication discusses the labor-saving potential and economic feasibility of machinery in crop management, particularly for rice cultivation. It emphasizes the importance of local capacity development for machinery fabrication, testing of labor-saving technologies, and implementing integrated pest and disease management strategies. Collaboration among various scientists is highlighted as key to delivering sustainable agronomic solutions, especially in rainfed rice systems. Additionally, it underscores the necessity of enabling environments such as access to inputs, training, and market engagement for farmers.",SDG 1; SDG 2,AfricaRice,No Data,"Saito, Kazuki","Senthilkumar, Kalimuthu; Dossou-Yovo, Elliott Ronald; Ali, I.; Johnson, J.M.; Mujawamariya, Gaudiose; Rodenburg, J.",AfricaRice
Africa Rice Center (AfricaRice) Annual report 2019: Toward rice-based food systems transformation in Africa,2020,Africa Rice Center,No Data,Annual Report,https://hdl.handle.net/10568/110844,No Data,Aminou Arouna,AfricaRice@cgiar.org,Funding the shortfall will cost $5.8 billion/year â€” a far cry from continental self-sufficiency!,"multidisciplinary assessment of WITA9, covering agronomy, grain quality, disease resistance, adoption, impact on farmersâ€™ livelihoods and consumer preference",Machine Learning; Deep Learning; No Data,"Development and promotion of good agronomic and postharvest practices, and policies to upgrade the rice value chain.",agricultural research; crops; rice; research; agriculture,"This publication evaluates the Coalition for African Rice Development (CARD), initiated by Japan, aimed at doubling rice production from 2008 to 2018. The evaluation revealed that while overall production increased by 103%, CARD was credited with a 74% increase. Projections for 2030 indicate a significant shortfall in rice production, costing $5.8 billion/year, but suggest that self-sufficiency is achievable with increased yield and area. The analysis underscores the importance of targeted action and a value-chain approach in reaching these goals.",SDG 1; SDG 2; No Data,AfricaRice,No Data,Africa Rice Center,,AfricaRice
